표준버스정류장ID,노선번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수
100000122,N51,현대그룹빌딩(00126),0,0,0,0,0,0,1,59,0,32,1,3
100000122,N51,현대그룹빌딩(00046),0,6,9,43,1,73,0,0,0,0,0,0
100000123,N31,방송통신대.이화장(00134),0,0,0,0,0,0,19,40,13,77,10,25
100000123,N31,방송통신대.이화장(00064),0,0,19,48,17,71,22,47,0,0,0,0
100000123,N16,방송통신대.이화장(00107),0,0,0,0,0,0,83,45,45,36,0,0
100000123,N16,방송통신대.이화장(00039),0,0,47,41,121,45,0,0,0,0,0,0
100000124,N31,혜화역2번출구.마로니에공원(00135),0,0,0,0,0,0,15,52,8,80,4,37
100000124,N31,혜화역2번출구.마로니에공원(00065),0,0,31,100,21,145,25,82,0,0,0,0
100000124,N16,혜화역2번출구.마로니에공원(00108),0,0,0,0,0,0,66,114,44,67,0,0
100000124,N16,혜화역2번출구.마로니에공원(00040),0,0,78,141,131,102,0,0,0,0,0,0
100000125,N16,혜화역3번출구.서울대병원입구(00025),172,29,130,46,30,7,0,0,0,0,0,0
100000125,N16,혜화역3번출구.서울대병원입구(00088),0,0,0,0,23,4,63,29,10,33,0,0
100000126,N16,방송통신대.이화장(00026),7,18,19,39,4,7,0,0,0,0,0,0
100000126,N16,방송통신대.이화장(00089),0,0,0,0,5,19,35,45,3,49,0,0
100000127,N51,이화동(이화장)(00112),0,0,0,0,17,3,36,22,11,62,0,0
100000127,N51,이화동(이화장)(00034),51,14,37,14,22,3,0,0,0,0,0,0
100000129,N51,이화동(이화장)(00127),0,0,0,0,0,0,28,85,41,41,5,6
100000129,N51,이화동(이화장)(00047),10,5,77,46,49,83,0,0,0,0,0,0
100000129,N16,이화동(이화장)(00027),23,50,22,67,7,12,0,0,0,0,0,0
100000129,N16,이화동(이화장)(00090),0,0,0,0,9,15,26,33,10,28,0,0
100000132,N16,혜화역.서울연극센터(장면총리가옥)(00024),326,137,385,224,101,41,0,0,0,0,0,0
100000132,N16,혜화역.서울연극센터(장면총리가옥)(00087),0,0,0,0,92,60,145,79,60,97,0,0
100000133,N31,혜화역.동성중고(장면총리가옥)(00136),0,0,0,0,0,0,26,91,40,116,13,38
100000133,N31,혜화역.동성중고(장면총리가옥)(00066),0,0,121,135,106,230,36,116,0,0,0,0
100000133,N16,혜화역.동성중고(장면총리가옥)(00109),0,0,0,0,0,0,278,128,186,107,0,0
100000133,N16,혜화역.동성중고(장면총리가옥)(00041),0,0,350,164,567,141,0,0,0,0,0,0
100000147,N15,신설동로터리(00102),0,0,0,0,17,123,97,271,85,148,0,0
100000147,N51,신설동로터리(00029),27,159,33,67,22,63,0,0,0,0,0,0
100000147,N51,신설동로터리(00107),0,0,0,0,30,72,47,102,27,45,0,0
100000147,N15,신설동로터리(00031),65,324,79,354,32,143,0,0,0,0,0,0
100000159,N51,원남동사거리(00045),1,12,6,36,8,42,0,0,0,0,0,0
100000159,N51,원남동사거리(00125),0,0,0,0,0,0,6,45,9,27,0,2
100000165,N30,숭인동(00062),18,9,60,36,53,66,87,21,65,21,39,6
100000179,N51,이화동(이화장)(00111),0,0,0,0,11,9,34,28,2,22,0,0
100000179,N16,이화동(이화장)(00106),0,0,0,0,0,0,79,23,42,31,0,0
100000179,N51,이화동(이화장)(00033),65,34,28,14,17,11,0,0,0,0,0,0
100000179,N16,이화동(이화장)(00038),0,0,42,42,52,23,0,0,0,0,0,0
100000190,N13,종로중부새마을금고(00041),37,39,85,116,9,53,0,0,0,0,0,0
100000190,N13,종로중부새마을금고(00111),0,0,0,0,31,45,38,73,59,34,0,0
100000190,N30,종로중부새마을금고(00038),12,32,1,45,2,89,2,34,4,67,0,0
