표준버스정류장ID,노선번호,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,정류소명,X좌표,Y좌표,매칭된지하철역,역과거리(m)
100000121,N16,0,0,0,0,0,0,68,57,53,27,0,0,충신동,127.0063433807,37.5744602778,동대문역사문화공원,1011.7628686869846
100000121,N16,0,0,55,112,81,98,0,0,0,0,0,0,충신동,127.0063433807,37.5744602778,동대문역사문화공원,1011.7628686869846
100000122,N51,0,0,0,0,0,0,1,59,0,32,1,3,현대그룹빌딩,127.000807,37.575912,을지로4가,1059.2032354304383
100000122,N51,0,6,9,43,1,73,0,0,0,0,0,0,현대그룹빌딩,127.000807,37.575912,을지로4가,1059.2032354304383
100000123,N31,0,0,0,0,0,0,19,40,13,77,10,25,방송통신대.이화장,127.002437,37.578043,을지로4가,1324.842068607112
100000123,N31,0,0,19,48,17,71,22,47,0,0,0,0,방송통신대.이화장,127.002437,37.578043,을지로4가,1324.842068607112
100000123,N16,0,0,0,0,0,0,83,45,45,36,0,0,방송통신대.이화장,127.002437,37.578043,을지로4가,1324.842068607112
100000123,N16,0,0,47,41,121,45,0,0,0,0,0,0,방송통신대.이화장,127.002437,37.578043,을지로4가,1324.842068607112
100000124,N31,0,0,0,0,0,0,15,52,8,80,4,37,혜화역.마로니에공원,127.0022769364,37.5811194873,을지로4가,1651.5753960168727
100000124,N31,0,0,31,100,21,145,25,82,0,0,0,0,혜화역.마로니에공원,127.0022769364,37.5811194873,을지로4가,1651.5753960168727
100000124,N16,0,0,0,0,0,0,66,114,44,67,0,0,혜화역.마로니에공원,127.0022769364,37.5811194873,을지로4가,1651.5753960168727
100000124,N16,0,0,78,141,131,102,0,0,0,0,0,0,혜화역.마로니에공원,127.0022769364,37.5811194873,을지로4가,1651.5753960168727
100000125,N16,172,29,130,46,30,7,0,0,0,0,0,0,혜화역.서울대병원입구,127.00185,37.580957,을지로4가,1625.9407620088089
100000125,N16,0,0,0,0,23,4,63,29,10,33,0,0,혜화역.서울대병원입구,127.00185,37.580957,을지로4가,1625.9407620088089
100000126,N16,7,18,19,39,4,7,0,0,0,0,0,0,방송통신대.이화장,127.001977,37.577788,을지로4가,1286.413075683501
100000126,N16,0,0,0,0,5,19,35,45,3,49,0,0,방송통신대.이화장,127.001977,37.577788,을지로4가,1286.413075683501
100000127,N51,0,0,0,0,17,3,36,22,11,62,0,0,이화동(이화장),127.0006951494,37.576119355,을지로4가,1079.5211926444192
100000127,N51,51,14,37,14,22,3,0,0,0,0,0,0,이화동(이화장),127.0006951494,37.576119355,을지로4가,1079.5211926444192
100000129,N51,0,0,0,0,0,0,28,85,41,41,5,6,이화동(이화장),127.0032708172,37.5759372914,을지로4가,1130.6388531709247
100000129,N51,10,5,77,46,49,83,0,0,0,0,0,0,이화동(이화장),127.0032708172,37.5759372914,을지로4가,1130.6388531709247
100000129,N16,23,50,22,67,7,12,0,0,0,0,0,0,이화동(이화장),127.0032708172,37.5759372914,을지로4가,1130.6388531709247
100000129,N16,0,0,0,0,9,15,26,33,10,28,0,0,이화동(이화장),127.0032708172,37.5759372914,을지로4가,1130.6388531709247
100000132,N16,326,137,385,224,101,41,0,0,0,0,0,0,혜화역.서울연극센터(장면총리가옥),127.0013281701,37.584022814,을지로4가,1953.1541052810069
100000132,N16,0,0,0,0,92,60,145,79,60,97,0,0,혜화역.서울연극센터(장면총리가옥),127.0013281701,37.584022814,을지로4가,1953.1541052810069
100000133,N31,0,0,0,0,0,0,26,91,40,116,13,38,혜화역.동성중고(장면총리가옥),127.0017176887,37.5845697705,을지로4가,2018.3656175658182
100000133,N31,0,0,121,135,106,230,36,116,0,0,0,0,혜화역.동성중고(장면총리가옥),127.0017176887,37.5845697705,을지로4가,2018.3656175658182
100000133,N16,0,0,0,0,0,0,278,128,186,107,0,0,혜화역.동성중고(장면총리가옥),127.0017176887,37.5845697705,을지로4가,2018.3656175658182
100000133,N16,0,0,350,164,567,141,0,0,0,0,0,0,혜화역.동성중고(장면총리가옥),127.0017176887,37.5845697705,을지로4가,2018.3656175658182
100000147,N15,0,0,0,0,17,123,97,271,85,148,0,0,신설동로터리,127.022841,37.575695,신설동,235.0898862232953
100000147,N51,27,159,33,67,22,63,0,0,0,0,0,0,신설동로터리,127.022841,37.575695,신설동,235.0898862232953
100000147,N51,0,0,0,0,30,72,47,102,27,45,0,0,신설동로터리,127.022841,37.575695,신설동,235.0898862232953
100000147,N15,65,324,79,354,32,143,0,0,0,0,0,0,신설동로터리,127.022841,37.575695,신설동,235.0898862232953
100000159,N51,1,12,6,36,8,42,0,0,0,0,0,0,원남동사거리,126.998113,37.575761,을지로4가,1015.5439701240248
100000159,N51,0,0,0,0,0,0,6,45,9,27,0,2,원남동사거리,126.998113,37.575761,을지로4가,1015.5439701240248
100000165,N30,18,9,60,36,53,66,87,21,65,21,39,6,숭인동,127.0204373408,37.5742721533,신설동,419.14833377406956
100000179,N51,0,0,0,0,11,9,34,28,2,22,0,0,이화동(이화장),127.002955,37.576257,을지로4가,1152.58839528121
100000179,N16,0,0,0,0,0,0,79,23,42,31,0,0,이화동(이화장),127.002955,37.576257,을지로4가,1152.58839528121
100000179,N51,65,34,28,14,17,11,0,0,0,0,0,0,이화동(이화장),127.002955,37.576257,을지로4가,1152.58839528121
100000179,N16,0,0,42,42,52,23,0,0,0,0,0,0,이화동(이화장),127.002955,37.576257,을지로4가,1152.58839528121
100000190,N13,37,39,85,116,9,53,0,0,0,0,0,0,종로중부새마을금고,127.0065911394,37.5724174899,동대문역사문화공원,787.0759523403927
100000190,N13,0,0,0,0,31,45,38,73,59,34,0,0,종로중부새마을금고,127.0065911394,37.5724174899,동대문역사문화공원,787.0759523403927
100000190,N30,12,32,1,45,2,89,2,34,4,67,0,0,종로중부새마을금고,127.0065911394,37.5724174899,동대문역사문화공원,787.0759523403927
100000362,N37,0,0,0,0,6,13,51,68,22,21,0,0,영천시장,126.9631796651,37.569515943,충정로(경기대입구),1090.6288020438665
100000362,N37,0,0,33,57,31,60,0,0,0,0,0,0,영천시장,126.9631796651,37.569515943,충정로(경기대입구),1090.6288020438665
100000363,N37,40,32,47,44,0,0,0,0,0,0,0,0,영천시장,126.9625329584,37.5699391328,충정로(경기대입구),1144.4303340689405
100000363,N37,0,0,0,0,57,47,21,56,0,0,0,0,영천시장,126.9625329584,37.5699391328,충정로(경기대입구),1144.4303340689405
100000365,N51,112,83,125,34,81,37,0,0,0,0,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N15,0,0,0,0,117,67,338,186,258,51,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N15,176,127,275,193,152,59,0,0,0,0,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N26,135,65,280,124,149,74,0,0,0,0,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N51,0,0,0,0,110,66,210,117,88,31,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N26,0,0,0,0,182,94,249,188,184,37,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N13,58,81,210,239,45,72,0,0,0,0,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N13,0,0,0,0,72,94,188,188,115,88,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000365,N30,18,101,27,106,46,196,38,106,35,91,0,0,동대문(흥인지문),127.012453,37.572102,동대문역사문화공원,779.724055175932
100000366,N72,72,40,201,311,196,280,0,0,0,0,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N15,27,38,243,225,298,186,0,0,0,0,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N15,0,0,0,0,65,17,329,191,233,74,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N72,0,0,0,0,0,0,151,219,78,131,15,66,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N51,1,1,155,48,129,65,22,10,0,0,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N26,0,0,76,158,174,222,0,0,0,0,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
